FONDBOLAG	FONDNUMMER	FONDNAMN	VALUTA	FONDAVGIFT	BRUTTO AVG	TKA	KATEGORI	EXTERID	FOND_I_FOND	RESULTATBEROENDE	SLOW	SPREAD	MILJÖETISK	FÖRLÄNGD	STARTDATUM	AVSLUTSDATUM	FONDSTATUS
Amundi Luxembourg S.A. 	204891	Amundi Funds Equity Latin America	USD	0,76	2,31	2,51	Latinamerika	LU0201575346	N	J	J	N		0	2008-01-09		1
Amundi Luxembourg S.A. 	882530	Amundi Funds Equity US Concentrated Core	USD	0,74	2,20	2,21	Nordamerika och USA	LU0568602667	N	J	J	N		0	2011-06-14		1
Amundi Luxembourg S.A. 	846709	Amundi Funds Equity US Growth	USD	0,91	2,48		Nordamerika och USA	LU0568604101	N	J	J	N		0	2011-06-14	2013-09-26	5
Amundi Luxembourg S.A. 	197517	Amundi Funds Equity US Relative Value	USD	0,73	2,16	2,26	Nordamerika och USA	LU0568605769	N	J	J	N		0	2011-06-14		1
Amundi Luxembourg S.A. 	789099	Amundi Funds- Gems Europe	EUR	0,60	1,70	1,89	Europa	LU0319686589	N	N	J	N		0	2008-04-14	2014-02-25	5
Amundi Luxembourg S.A. 	958686	Amundi Funds-Euro Quant	EUR	0,60	1,70	1,92	Euroland	LU0119126729	N	N	J	N		0	2001-04-19	2014-02-25	5
Amundi Luxembourg S.A. 	994517	Amundi Funds-Europe Smaller Companies	EUR	0,71	2,10	2,41	Europa/Euroland småbolag	LU0119106291	N	N	J	N		0	2001-04-19	2014-02-25	5
Amundi Luxembourg S.A. 	925743	Amundi Funds-Gems World	USD	0,60	1,70	2,13	Global	LU0297161969	N	N	J	N		0	2008-01-09	2014-02-25	5
Amundi Luxembourg S.A. 	922856	Amundi Funds-Global Finance	USD	0,71	2,10	2,30	Övriga branscher	LU0119138732	N	N	J	N		0	2001-04-19	2014-02-25	5
Amundi Luxembourg S.A. 	356188	CAAM Funds-Europe Equities	EUR	0,69	1,70	1,70	Europa	LU0119128261	N	N	J	N		0	2004-12-02	2008-05-07	5
Amundi Luxembourg S.A. 	887026	CAAM Funds-Global Food & Healthcare	USD	0,83	2,10	2,30	Läkemedel	LU0119140043	N	N	J	N		0	2001-04-19	2011-03-25	5
Amundi Luxembourg S.A. 	851196	CAAM Funds-Global Techno & Telecom	USD	0,84	2,10	2,20	IT och kommunikation	LU0119141017	N	N	J	N		0	2001-04-19	2011-03-25	5
Amundi Luxembourg S.A. 	378737	CAAM Funds-Japan Growth	JPY	0,70	1,70	1,71	Japan	LU0119147303	N	N	J	N		0	2000-07-05	2011-03-25	5
Aragon Asset Management SA Luxembourg	596130	Aragon SICAV Global Equities Selection Fund	USD	1,77	2,22	2,55	Global	LU0049116360	N	N	N	N		0	2001-02-13	2005-08-01	5
Aragon Asset Management SA Luxembourg	560300	Aragon SICAV Nordic Equities Selection Fund	SEK	1,43	1,77	2,09	Norden	LU0049117848	N	N	N	N		0	2001-02-13	2005-07-29	5
Ashburton Fund  Managers Limited	367573	Ashburton Americas Equity Fund PC	USD	0,76	1,90	2,48	Nordamerika och USA	GB0002278108	N	N	N	N		0	2010-12-10	2011-06-01	5
Ashburton Fund  Managers Limited	403402	Ashburton European Equity Fund PC	EUR	0,75	1,87	3,10	Europa	GB0002279403	N	N	N	N		0	2010-12-10	2011-06-01	5
Ashburton Fund  Managers Limited	733378	Ashburton Global Funds Dollar International Equity Fund PC	USD	0,75	1,87	1,95	Global	GB0004263058	N	N	N	N		0	2002-01-23	2011-06-01	5
Ashburton Fund  Managers Limited	805036	Ashburton Global Funds Dollar Total Return Bond Fund PC	USD	0,46	1,12	1,15	Övriga utländska	GB0031039281	N	N	N	N		0	2002-01-23	2011-06-01	5
Ashburton Fund  Managers Limited	876698	Ashburton Global Funds Euro Asset Management Fund PC	EUR	0,76	1,89	2,11	Utländska aktier och räntor	GB0031039174	N	N	N	N		0	2002-01-23	2011-06-01	5
Ashburton Fund  Managers Limited	912527	Ashburton Global Funds Sterling Asset Management Fund PC	GBP	0,75	1,86	1,89	Utländska aktier och räntor	GB0000547959	N	N	N	N		0	2002-01-23	2011-06-01	5
Ashburton Fund  Managers Limited	769208	Ashburton Global Funds Sterling International Equity Fund PC	GBP	0,75	1,87	1,92	Global	GB0000492743	N	N	N	N		0	2002-01-24	2011-06-01	5
Ashburton Fund  Managers Limited	840868	Ashburton Global Funds Sterling Total Return Bond Fund PC	GBP	0,45	1,11	1,14	Övriga utländska	GB0000492859	N	N	N	N		0	2002-01-24	2011-06-01	5
Ashburton Fund  Managers Limited	439232	Ashburton Japan Equity Fund PC	USD	0,76	1,90	2,15	Japan	GB0002278876	N	N	N	N		0	2010-12-10	2011-06-01	5
Atlant Fonder AB	789503	Atlant Sharp Europe	SEK	0,62	1,56		Utländska aktier och räntor	SE0007603881	N	N	J	N		0	2015-11-09		1
Avanza Fonder AB	734491	Avanza Zero - Fonden utan avgifter	SEK		0,00	0,00	Sverige index	SE0001718388	N	N	N	N		0	2006-05-17		1
Avaron Asset Management, AS	666313	Avaron Emerging Europe Fund	EUR	0,89	2,31	2,58	Östeuropa	EE3600108866	N	N	J	N	J	0	2012-05-14		1
Aviva Holdings Luxembourg S.A.	135186	Aviva Funds-Global Socially Responsible Equity Fund	USD	1,77	2,23	2,27	Global	LU0144878591	N	N	N	N		0	2002-11-19	2004-09-20	5
